Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
54.78303,-2.43283,334.5,0,
54.783048,-2.432712,336.6,0.008,
54.783066,-2.432593,338.7,0.016,
54.783085,-2.432475,340.8,0.024,
54.783103,-2.432356,342.9,0.031,
54.783121,-2.432238,345,0.039,
54.783139,-2.432119,347.1,0.047,27
54.783158,-2.432001,349.1,0.055,27
54.783176,-2.431882,351.1,0.063,26
54.783194,-2.431764,353.1,0.071,26
54.783212,-2.431645,355.1,0.079,26
54.783231,-2.431527,357.2,0.087,26
54.783249,-2.431409,359.2,0.094,26
54.783267,-2.43129,361.2,0.102,26
54.783285,-2.431172,363.2,0.11,26
54.783304,-2.431053,365.2,0.118,26
54.783322,-2.430935,367.2,0.126,26
54.78334,-2.430816,369.1,0.134,26
54.783358,-2.430698,371.1,0.142,26
54.783377,-2.430579,373,0.15,25
54.783395,-2.430461,374.9,0.157,25
54.783413,-2.430342,376.7,0.165,25
54.783431,-2.430224,378.6,0.173,25
54.78345,-2.430105,380.4,0.181,25
54.783468,-2.429987,382,0.189,24
54.783486,-2.429869,383.4,0.197,24
54.783504,-2.42975,384.7,0.205,23
54.783523,-2.429632,386.1,0.213,22
54.783541,-2.429513,387.4,0.22,22
54.783559,-2.429395,388.7,0.228,21
54.783577,-2.429276,390,0.236,20
54.783596,-2.429158,391.2,0.244,20
54.783614,-2.429039,392.4,0.252,19
54.783632,-2.428921,393.6,0.26,18
54.78365,-2.428802,394.7,0.268,18
54.783669,-2.428684,395.9,0.275,17
54.783687,-2.428565,396.8,0.283,16
54.783705,-2.428447,397.7,0.291,15
54.783723,-2.428329,398.6,0.299,15
54.783742,-2.42821,399.6,0.307,14
54.78376,-2.428092,400.4,0.315,14
54.783778,-2.427973,401.3,0.323,14
54.783796,-2.427855,402.2,0.331,13
54.783815,-2.427736,403,0.338,13
54.783833,-2.427618,403.8,0.346,12
54.783851,-2.427499,404.6,0.354,12
54.783869,-2.427381,405.4,0.362,12
54.783888,-2.427262,406.3,0.37,11
54.783906,-2.427144,407.1,0.378,11
54.783924,-2.427025,407.9,0.386,11
54.783942,-2.426907,408.7,0.394,11
54.783961,-2.426789,409.6,0.401,11
54.783979,-2.42667,410.4,0.409,11
54.783997,-2.426552,411.1,0.417,10
54.784015,-2.426433,411.8,0.425,10
54.784034,-2.426315,412.3,0.433,10
54.784052,-2.426196,412.9,0.441,10
54.78407,-2.426078,413.5,0.449,9
54.784088,-2.425959,414,0.457,9
54.784107,-2.425841,414.7,0.464,9
54.784125,-2.425722,415.4,0.472,9
54.784143,-2.425604,416.1,0.48,9
54.784161,-2.425485,416.8,0.488,9
54.78418,-2.425367,417.5,0.496,9
54.784198,-2.425249,418.2,0.504,8
54.784216,-2.42513,418.7,0.512,8
54.784234,-2.425012,419.2,0.519,8
54.784252,-2.424893,419.7,0.527,8
54.784271,-2.424775,420.1,0.535,8
54.784289,-2.424656,420.6,0.543,8
54.784307,-2.424538,421,0.551,7
54.784325,-2.424419,421.4,0.559,7
54.784344,-2.424301,421.7,0.567,7
54.784362,-2.424182,422,0.575,6
54.78438,-2.424064,422.4,0.582,6
54.784398,-2.423945,422.6,0.59,6
54.784417,-2.423827,422.9,0.598,5
54.784435,-2.423708,423.2,0.606,5
54.784453,-2.42359,423.5,0.614,5
54.784471,-2.423472,423.8,0.622,5
54.78449,-2.423353,424.1,0.63,4
54.784508,-2.423235,424.4,0.638,4
54.784526,-2.423116,424.7,0.645,4
54.784544,-2.422998,425.1,0.653,4
54.784563,-2.422879,425.5,0.661,4
54.784581,-2.422761,425.9,0.669,4
54.784599,-2.422642,426.4,0.677,4
54.784617,-2.422524,426.8,0.685,4
54.784636,-2.422405,427.4,0.693,5
54.784654,-2.422287,428.1,0.701,5
54.784672,-2.422168,428.8,0.708,5
54.78469,-2.42205,429.5,0.716,6
54.784709,-2.421932,430.2,0.724,6
54.784727,-2.421813,430.9,0.732,7
54.784745,-2.421695,431.5,0.74,7
54.784763,-2.421576,432,0.748,7
54.784781,-2.421458,432.6,0.756,7
54.7848,-2.421339,433.1,0.763,7
54.784818,-2.421221,433.7,0.771,8
54.784836,-2.421102,434.3,0.779,8
54.784854,-2.420984,435,0.787,8
54.784873,-2.420865,435.7,0.795,8
54.784891,-2.420747,436.4,0.803,8
54.784909,-2.420628,437.1,0.811,8
54.784927,-2.42051,437.8,0.819,8
54.784946,-2.420391,438.6,0.826,8
54.784964,-2.420273,439.3,0.834,8
54.784982,-2.420154,440,0.842,8
54.785,-2.420036,440.7,0.85,9
54.785019,-2.419918,441.4,0.858,9
54.785037,-2.419799,442.1,0.866,9
54.785055,-2.419681,442.8,0.874,9
54.785073,-2.419562,443.3,0.882,9
54.785092,-2.419444,443.9,0.889,9
54.78511,-2.419325,444.5,0.897,9
54.785128,-2.419207,445.1,0.905,9
54.785146,-2.419088,445.8,0.913,8
54.785164,-2.41897,446.5,0.921,8
54.785183,-2.418851,447.3,0.929,9
54.785201,-2.418733,448.1,0.937,9
54.785219,-2.418614,448.8,0.945,9
54.785237,-2.418496,449.6,0.952,9
54.785256,-2.418377,450.4,0.96,9
54.785274,-2.418259,450.5,0.968,8
54.785292,-2.418141,450.6,0.976,8
54.78531,-2.418022,450.7,0.984,7
54.785329,-2.417904,450.8,0.992,7
54.785347,-2.417785,450.9,1,6
54.785365,-2.417667,450.9,1.007,6
54.785383,-2.417548,451,1.015,5
54.785402,-2.41743,451,1.023,4
54.78542,-2.417311,450.9,1.031,4
54.785438,-2.417193,450.9,1.039,3
54.785456,-2.417074,450.9,1.047,2
54.785474,-2.416956,450.9,1.055,1
54.785493,-2.416837,450.8,1.063,0
54.785511,-2.416719,450.7,1.07,0
54.785529,-2.4166,450.6,1.078,0
54.785547,-2.416482,450.4,1.086,0
54.785566,-2.416363,450.3,1.094,-1
54.785584,-2.416245,450,1.102,-1
54.785602,-2.416127,449.5,1.11,-1
54.78562,-2.416008,449.1,1.118,-2
54.785639,-2.41589,448.7,1.126,-2
54.785657,-2.415771,448.3,1.133,-3
54.785675,-2.415653,447.8,1.141,-3
54.785693,-2.415534,447.5,1.149,-3
54.785712,-2.415416,447.1,1.157,-4
54.78573,-2.415297,446.8,1.165,-4
54.785748,-2.415179,446.4,1.173,-4
54.785766,-2.41506,446.1,1.181,-4
54.785784,-2.414942,445.7,1.189,-5
54.785803,-2.414823,445.8,1.196,-4
54.785821,-2.414705,446,1.204,-4
54.785839,-2.414586,446.2,1.212,-3
54.785857,-2.414468,446.4,1.22,-3
54.785876,-2.414349,446.6,1.228,-2
54.785894,-2.414231,446.8,1.236,-1
54.785912,-2.414112,447.1,1.244,-1
54.78593,-2.413994,447.4,1.251,0
54.785949,-2.413876,447.6,1.259,0
54.785967,-2.413757,447.9,1.267,1
54.785985,-2.413639,448.1,1.275,2
54.786003,-2.41352,448.4,1.283,2
54.786021,-2.413402,448.4,1.291,3
54.78604,-2.413283,448.5,1.299,3
54.786058,-2.413165,448.6,1.307,3
54.786076,-2.413046,448.7,1.314,2
54.786094,-2.412928,448.8,1.322,2
54.786113,-2.412809,448.9,1.33,2
54.786131,-2.412691,449,1.338,2
54.786149,-2.412572,449.1,1.346,2
54.786167,-2.412454,449.1,1.354,2
54.786186,-2.412335,449.2,1.362,2
54.786204,-2.412217,449.2,1.37,1
54.786222,-2.412098,449.3,1.377,1
54.78624,-2.41198,449.3,1.385,1
54.786258,-2.411861,449.4,1.393,1
54.786277,-2.411743,449.5,1.401,1
54.786295,-2.411624,449.5,1.409,1
54.786313,-2.411506,449.6,1.417,1
54.786331,-2.411388,449.7,1.425,1
54.78635,-2.411269,449.9,1.433,1
54.786368,-2.411151,450,1.44,1
54.786386,-2.411032,450.2,1.448,1
54.786404,-2.410914,450.3,1.456,1
54.786423,-2.410795,450.5,1.464,1
54.786441,-2.410677,450.7,1.472,1
54.786459,-2.410558,450.8,1.48,2
54.786477,-2.41044,451,1.488,2
54.786495,-2.410321,451.1,1.496,2
54.786514,-2.410203,451.3,1.503,2
54.786532,-2.410084,451.4,1.511,2
54.78655,-2.409966,451.6,1.519,2
54.786568,-2.409847,451.8,1.527,2
54.786587,-2.409729,452,1.535,2
54.786605,-2.40961,452.2,1.543,2
54.786623,-2.409492,452.5,1.551,2
54.786641,-2.409373,452.7,1.558,2
54.786659,-2.409255,453,1.566,2
54.786678,-2.409136,453.2,1.574,2
54.786696,-2.409018,453.5,1.582,3
54.786714,-2.4089,453.8,1.59,3
54.786732,-2.408781,454,1.598,3
54.786751,-2.408663,454.3,1.606,3
54.786769,-2.408544,454.6,1.614,3
54.786787,-2.408426,454.8,1.621,3
54.786805,-2.408307,455.1,1.629,3
54.786824,-2.408189,455.4,1.637,3
54.786842,-2.40807,455.6,1.645,3
54.78686,-2.407952,455.9,1.653,3
54.786878,-2.407833,456.3,1.661,3
54.786896,-2.407715,456.6,1.669,4
54.786915,-2.407596,457,1.677,4
54.786933,-2.407478,457.4,1.684,4
54.786951,-2.407359,457.8,1.692,4
54.786969,-2.407241,458.4,1.7,4
54.786988,-2.407122,459,1.708,5
54.787006,-2.407004,459.6,1.716,5
54.787024,-2.406885,460.2,1.724,5
54.787042,-2.406767,460.8,1.732,6
54.78706,-2.406648,461.4,1.74,6
54.787079,-2.40653,462,1.747,6
54.787097,-2.406411,462.7,1.755,7
54.787115,-2.406293,463.3,1.763,7
54.787133,-2.406174,463.9,1.771,7
54.787152,-2.406056,464.6,1.779,7
54.78717,-2.405938,465.3,1.787,8
54.787188,-2.405819,466,1.795,8
54.787206,-2.405701,466.8,1.802,8
54.787224,-2.405582,467.5,1.81,8
54.787243,-2.405464,468.3,1.818,8
54.787261,-2.405345,469.1,1.826,9
54.787279,-2.405227,469.9,1.834,9
54.787297,-2.405108,470.8,1.842,9
54.787316,-2.40499,471.6,1.85,9
54.787334,-2.404871,472.4,1.858,10
54.787352,-2.404753,473.3,1.865,10
54.78737,-2.404634,474.1,1.873,10
54.787388,-2.404516,475.1,1.881,10
54.787407,-2.404397,476.1,1.889,11
54.787425,-2.404279,477.1,1.897,11
54.787443,-2.40416,478.1,1.905,11
54.787461,-2.404042,479.1,1.913,11
54.78748,-2.403923,480.1,1.921,12
54.787498,-2.403805,481.2,1.928,12
54.787516,-2.403686,482.2,1.936,12
54.787534,-2.403568,483.2,1.944,12
54.787552,-2.403449,484.2,1.952,12
54.787571,-2.403331,485.2,1.96,12
54.787589,-2.403212,486.1,1.968,13
54.787607,-2.403094,487,1.976,13
54.787625,-2.402975,487.9,1.984,13
54.787644,-2.402857,488.8,1.991,12
54.787662,-2.402738,489.7,1.999,12
54.78768,-2.40262,490.6,2.007,12
